,numprocs,matrix,time,system_id,solver_id,prec_id,status_id,matrix_id,new_time,good_or_bad
194,1,circuit204.mtx,0.0,3,3,4,-1,1149208828897789597,inf,-1
195,1,circuit204.mtx,0.0,3,5,0,-1,1149208828897789597,inf,-1
196,1,circuit204.mtx,0.0,3,5,1,-1,1149208828897789597,inf,-1
197,1,circuit204.mtx,0.0,3,5,2,-1,1149208828897789597,inf,-1
198,1,circuit204.mtx,2.47895,3,5,3,0,1149208828897789597,inf,-1
199,1,circuit204.mtx,2.00314,3,5,4,0,1149208828897789597,inf,-1
200,1,circuit204.mtx,1.55314,3,7,0,0,1149208828897789597,inf,-1
201,1,circuit204.mtx,1.54244,3,7,1,0,1149208828897789597,inf,-1
202,1,circuit204.mtx,0.8822129999999999,3,7,2,0,1149208828897789597,inf,-1
203,1,circuit204.mtx,0.00499177,3,7,3,1,1149208828897789597,0.00499177,1
204,1,circuit204.mtx,1.0141,3,7,4,1,1149208828897789597,1.0141,-1
205,1,circuit204.mtx,0.0,3,8,0,-1,1149208828897789597,inf,-1
206,1,circuit204.mtx,0.0,3,8,1,-1,1149208828897789597,inf,-1
207,1,circuit204.mtx,0.0,3,8,2,-1,1149208828897789597,inf,-1
208,1,circuit204.mtx,0.00241089,3,8,3,0,1149208828897789597,inf,-1
209,1,circuit204.mtx,3.81491,3,8,4,0,1149208828897789597,inf,-1
210,1,M20PI_n1.mtx,0.0,3,0,0,-1,-4587417947648329443,inf,-1
211,1,M20PI_n1.mtx,0.0,3,0,1,-1,-4587417947648329443,inf,-1
212,1,M20PI_n1.mtx,0.0,3,0,2,-1,-4587417947648329443,inf,-1
213,1,M20PI_n1.mtx,0.0,3,0,3,-1,-4587417947648329443,inf,-1
214,1,M20PI_n1.mtx,0.0,3,0,4,-1,-4587417947648329443,inf,-1
215,1,M20PI_n1.mtx,0.0,3,1,0,-1,-4587417947648329443,inf,-1
216,1,M20PI_n1.mtx,0.0,3,1,1,-1,-4587417947648329443,inf,-1
217,1,M20PI_n1.mtx,0.0,3,1,2,-1,-4587417947648329443,inf,-1
218,1,M20PI_n1.mtx,2.17257,3,1,3,0,-4587417947648329443,inf,-1
219,1,M20PI_n1.mtx,0.0,3,1,4,-1,-4587417947648329443,inf,-1
220,1,M20PI_n1.mtx,0.497015,3,2,0,0,-4587417947648329443,inf,-1
221,1,M20PI_n1.mtx,0.0,3,2,1,-1,-4587417947648329443,inf,-1
222,1,M20PI_n1.mtx,0.504336,3,2,2,0,-4587417947648329443,inf,-1
223,1,M20PI_n1.mtx,0.504282,3,2,3,0,-4587417947648329443,inf,-1
224,1,M20PI_n1.mtx,0.49476,3,2,4,0,-4587417947648329443,inf,-1
225,1,M20PI_n1.mtx,0.0,3,3,0,-1,-4587417947648329443,inf,-1
226,1,M20PI_n1.mtx,0.0,3,3,1,-1,-4587417947648329443,inf,-1
227,1,M20PI_n1.mtx,0.0,3,3,2,-1,-4587417947648329443,inf,-1
