classifier,sampler,np_a,np_b,fold,AUC,time
RandomForest,SMOTETomek,12,[1 2 4 6 8 10 12],1,0.825,3.555
RandomForest,SMOTETomek,12,[1 2 4 6 8 10 12],2,0.846,4.896
RandomForest,SMOTETomek,12,[1 2 4 6 8 10 12],avg,0.814
RandomForest,RandomOverSampler,12,[1 2 4 6 8 10 12],0,0.817,0.747
RandomForest,RandomOverSampler,12,[1 2 4 6 8 10 12],1,0.872,0.635
RandomForest,RandomOverSampler,12,[1 2 4 6 8 10 12],2,0.878,0.728
RandomForest,RandomOverSampler,12,[1 2 4 6 8 10 12],avg,0.855
AdaBoost,DummySampler,12,[1 2 4 6 8 10 12],0,0.827,2.725
AdaBoost,DummySampler,12,[1 2 4 6 8 10 12],1,0.841,2.932
AdaBoost,DummySampler,12,[1 2 4 6 8 10 12],2,0.8,2.782
AdaBoost,DummySampler,12,[1 2 4 6 8 10 12],avg,0.823
AdaBoost,SMOTE,12,[1 2 4 6 8 10 12],0,0.826,7.816
AdaBoost,SMOTE,12,[1 2 4 6 8 10 12],1,0.817,8.05
AdaBoost,SMOTE,12,[1 2 4 6 8 10 12],2,0.812,7.267
AdaBoost,SMOTE,12,[1 2 4 6 8 10 12],avg,0.818
AdaBoost,SMOTEENN,12,[1 2 4 6 8 10 12],0,0.834,8.839
AdaBoost,SMOTEENN,12,[1 2 4 6 8 10 12],1,0.828,9.472
AdaBoost,SMOTEENN,12,[1 2 4 6 8 10 12],2,0.812,10.031
AdaBoost,SMOTEENN,12,[1 2 4 6 8 10 12],avg,0.825
AdaBoost,SMOTETomek,12,[1 2 4 6 8 10 12],0,0.831,12.151
AdaBoost,SMOTETomek,12,[1 2 4 6 8 10 12],1,0.822,10.966
AdaBoost,SMOTETomek,12,[1 2 4 6 8 10 12],2,0.795,13.318
AdaBoost,SMOTETomek,12,[1 2 4 6 8 10 12],avg,0.816
AdaBoost,RandomOverSampler,12,[1 2 4 6 8 10 12],0,0.822,6.654
AdaBoost,RandomOverSampler,12,[1 2 4 6 8 10 12],1,0.845,5.96
AdaBoost,RandomOverSampler,12,[1 2 4 6 8 10 12],2,0.809,5.516
AdaBoost,RandomOverSampler,12,[1 2 4 6 8 10 12],avg,0.825
