,system,np,matrix,solver,prec,status,time,iters,resid,system_id,solver_id,prec_id,status_id,good_or_bad,new_time,matrix_id
120,bridges,28,tub1000.mtx,PSEUDOBLOCK_CG,ILUT,error,0.0,,,1,3,0,-1,-1,inf,623749945307268439
121,bridges,28,tub1000.mtx,PSEUDOBLOCK_CG,RILUK,error,0.0,,,1,3,1,-1,-1,inf,623749945307268439
122,bridges,28,tub1000.mtx,PSEUDOBLOCK_CG,RELAXATION,error,0.0,,,1,3,2,-1,-1,inf,623749945307268439
123,bridges,28,tub1000.mtx,PSEUDOBLOCK_CG,CHEBYSHEV,error,0.0,,,1,3,3,-1,-1,inf,623749945307268439
124,bridges,28,tub1000.mtx,PSEUDOBLOCK_CG,NONE,error,0.0,,,1,3,4,-1,-1,inf,623749945307268439
125,bridges,28,tub1000.mtx,PSEUDOBLOCK_TFQMR,ILUT,converged,0.115396,286.0,2.8995e-07,1,5,0,1,-1,0.115396,623749945307268439
126,bridges,28,tub1000.mtx,PSEUDOBLOCK_TFQMR,RILUK,converged,0.09823989999999999,260.0,2.0251599999999999e-07,1,5,1,1,-1,0.09823989999999999,623749945307268439
127,bridges,28,tub1000.mtx,PSEUDOBLOCK_TFQMR,RELAXATION,converged,1.57485,4738.0,6.732139999999999e-07,1,5,2,1,-1,1.57485,623749945307268439
128,bridges,28,tub1000.mtx,PSEUDOBLOCK_TFQMR,CHEBYSHEV,unconverged,3.26666,10000.0,141.425,1,5,3,0,-1,inf,623749945307268439
129,bridges,28,tub1000.mtx,PSEUDOBLOCK_TFQMR,NONE,converged,0.6874600000000001,2206.0,9.87951e-07,1,5,4,1,-1,0.6874600000000001,623749945307268439
130,bridges,28,tub1000.mtx,LSQR,ILUT,converged,0.725594,2534.0,,1,7,0,1,-1,0.725594,623749945307268439
131,bridges,28,tub1000.mtx,LSQR,RILUK,converged,0.548457,2250.0,,1,7,1,1,-1,0.548457,623749945307268439
132,bridges,28,tub1000.mtx,LSQR,RELAXATION,unconverged,1.87855,10000.0,,1,7,2,0,-1,inf,623749945307268439
133,bridges,28,tub1000.mtx,LSQR,CHEBYSHEV,converged,0.389363,2018.0,,1,7,3,1,-1,0.389363,623749945307268439
134,bridges,28,tub1000.mtx,LSQR,NONE,unconverged,0.9391209999999999,10000.0,,1,7,4,0,-1,inf,623749945307268439
135,bridges,28,tub1000.mtx,PSEUDOBLOCK_GMRES,ILUT,converged,0.173395,133.0,3.56047e-08,1,8,0,1,-1,0.173395,623749945307268439
136,bridges,28,tub1000.mtx,PSEUDOBLOCK_GMRES,RILUK,converged,0.0487108,133.0,3.56047e-08,1,8,1,1,1,0.0487108,623749945307268439
137,bridges,28,tub1000.mtx,PSEUDOBLOCK_GMRES,RELAXATION,unconverged,3.3612900000000003,10000.0,0.656877,1,8,2,0,-1,inf,623749945307268439
138,bridges,28,tub1000.mtx,PSEUDOBLOCK_GMRES,CHEBYSHEV,unconverged,5.26662,10000.0,0.956717,1,8,3,0,-1,inf,623749945307268439
139,bridges,28,tub1000.mtx,PSEUDOBLOCK_GMRES,NONE,unconverged,3.26313,10000.0,0.665249,1,8,4,0,-1,inf,623749945307268439
140,bridges,28,cage8.mtx,FIXED_POINT,ILUT,converged,0.017046000000000002,21.0,5.35756e-07,1,0,0,1,-1,0.017046000000000002,-6847664512012962880
141,bridges,28,cage8.mtx,FIXED_POINT,RILUK,converged,0.015827200000000003,21.0,5.35756e-07,1,0,1,1,-1,0.015827200000000003,-6847664512012962880
142,bridges,28,cage8.mtx,FIXED_POINT,RELAXATION,converged,0.029601799999999998,376.0,9.90067e-07,1,0,2,1,-1,0.029601799999999998,-6847664512012962880
143,bridges,28,cage8.mtx,FIXED_POINT,CHEBYSHEV,error,0.0,,,1,0,3,-1,-1,inf,-6847664512012962880
144,bridges,28,cage8.mtx,FIXED_POINT,NONE,converged,0.00680614,92.0,9.78231e-07,1,0,4,1,-1,0.00680614,-6847664512012962880
145,bridges,28,cage8.mtx,BICGSTAB,ILUT,converged,0.038176999999999996,6.0,1.81607e-07,1,1,0,1,-1,0.038176999999999996,-6847664512012962880
146,bridges,28,cage8.mtx,BICGSTAB,RILUK,converged,0.00264001,6.0,1.81607e-07,1,1,1,1,1,0.00264001,-6847664512012962880
147,bridges,28,cage8.mtx,BICGSTAB,RELAXATION,converged,0.00383568,7.0,2.9449899999999997e-07,1,1,2,1,-1,0.00383568,-6847664512012962880
148,bridges,28,cage8.mtx,BICGSTAB,CHEBYSHEV,error,0.0,,,1,1,3,-1,-1,inf,-6847664512012962880
