num_procs,matrix_name,solver,preconditioner,status,time,iterations,final_residual
12,cage8.mtx,FIXED_POINT,RILUK,converged,0.00434399,15,6.43E-07
12,cage8.mtx,FIXED_POINT,RELAXATION,converged,0.0289609,376,9.90E-07
12,cage8.mtx,FIXED_POINT,CHEBYSHEV,error,0.0149882,,
12,cage8.mtx,FIXED_POINT,NONE,converged,0.00830293,92,9.78E-07
12,cage8.mtx,BICGSTAB,ILUT,converged,0.00252104,5,2.28E-07
12,cage8.mtx,BICGSTAB,RILUK,converged,0.00261903,5,2.28E-07
12,cage8.mtx,BICGSTAB,RELAXATION,converged,0.00283003,7,2.94E-07
12,cage8.mtx,BICGSTAB,CHEBYSHEV,converged,0.00499201,7,2.94E-07
12,cage8.mtx,BICGSTAB,NONE,error,0.00580502,,
12,cage8.mtx,MINRES,ILUT,unconverged,0.863254,10000,0.00147983
12,cage8.mtx,MINRES,RILUK,unconverged,0.848104,10000,0.00147983
12,cage8.mtx,MINRES,RELAXATION,unconverged,0.803246,10000,0.00147983
12,cage8.mtx,MINRES,CHEBYSHEV,unconverged,0.792412,10000,0.00147983
12,cage8.mtx,MINRES,NONE,unconverged,0.800915,10000,0.00147983
12,cage8.mtx,PSEUDOBLOCK_CG,ILUT,converged,0.00180507,10,3.07E-07
12,cage8.mtx,PSEUDOBLOCK_CG,RILUK,converged,0.00188494,10,3.07E-07
12,cage8.mtx,PSEUDOBLOCK_CG,RELAXATION,converged,0.003654,14,3.44E-07
12,cage8.mtx,PSEUDOBLOCK_CG,CHEBYSHEV,unconverged,1.11489,10000,0.234783
12,cage8.mtx,PSEUDOBLOCK_CG,NONE,converged,0.0061059,40,8.96E-07
12,cage8.mtx,PSEUDOBLOCK_STOCHASTIC_CG,ILUT,converged,0.00192809,10,
12,cage8.mtx,PSEUDOBLOCK_STOCHASTIC_CG,RILUK,converged,0.00192904,10,
12,cage8.mtx,PSEUDOBLOCK_STOCHASTIC_CG,RELAXATION,converged,0.00193095,14,
12,cage8.mtx,PSEUDOBLOCK_STOCHASTIC_CG,CHEBYSHEV,converged,0.00465608,14,
12,cage8.mtx,PSEUDOBLOCK_STOCHASTIC_CG,NONE,converged,0.00446796,40,
12,cage8.mtx,PSEUDOBLOCK_TFQMR,ILUT,converged,0.00493193,6,3.55E-07
12,cage8.mtx,PSEUDOBLOCK_TFQMR,RILUK,converged,0.00322509,6,3.55E-07
12,cage8.mtx,PSEUDOBLOCK_TFQMR,RELAXATION,converged,0.00518489,8,2.29E-07
12,cage8.mtx,PSEUDOBLOCK_TFQMR,CHEBYSHEV,unconverged,3.80633,10000,49.2221
12,cage8.mtx,PSEUDOBLOCK_TFQMR,NONE,error,0.00209689,,
12,cage8.mtx,TFQMR,ILUT,converged,0.00207019,6,3.55E-07
12,cage8.mtx,TFQMR,RILUK,converged,0.00331712,6,3.55E-07
12,cage8.mtx,TFQMR,RELAXATION,converged,0.00207782,8,2.29E-07
12,cage8.mtx,TFQMR,CHEBYSHEV,unconverged,1.97419,10000,78.9168
12,cage8.mtx,TFQMR,NONE,error,0.00121903,,
12,cage8.mtx,LSQR,ILUT,converged,0.0146921,45,
12,cage8.mtx,LSQR,RILUK,converged,0.00640988,18,
12,cage8.mtx,LSQR,RELAXATION,converged,0.00612116,22,
12,cage8.mtx,LSQR,CHEBYSHEV,unconverged,1.35099,10000,
12,cage8.mtx,LSQR,NONE,converged,0.00611496,36,
12,cage8.mtx,PSEUDOBLOCK_GMRES,ILUT,converged,0.00799513,9,5.04E-07
12,cage8.mtx,PSEUDOBLOCK_GMRES,RILUK,converged,0.0037961,9,5.04E-07
12,cage8.mtx,PSEUDOBLOCK_GMRES,RELAXATION,converged,0.00576401,11,8.20E-07
12,cage8.mtx,PSEUDOBLOCK_GMRES,CHEBYSHEV,converged,0.00480509,11,8.20E-07
12,cage8.mtx,PSEUDOBLOCK_GMRES,NONE,converged,0.00686312,16,4.42E-07
12,circuit204.mtx,FIXED_POINT,ILUT,error,0.013941,,
12,circuit204.mtx,FIXED_POINT,RILUK,error,0.00101399,,
12,circuit204.mtx,FIXED_POINT,RELAXATION,error,0.000830889,,
12,circuit204.mtx,FIXED_POINT,CHEBYSHEV,error,0.362693,,
12,circuit204.mtx,FIXED_POINT,NONE,error,0.030313,,
12,circuit204.mtx,BICGSTAB,ILUT,error,0.00194192,,
12,circuit204.mtx,BICGSTAB,RILUK,error,0.00111008,,
12,circuit204.mtx,BICGSTAB,RELAXATION,error,0.000807047,,
12,circuit204.mtx,BICGSTAB,CHEBYSHEV,error,0.200053,,
12,circuit204.mtx,BICGSTAB,NONE,error,0.444401,,
12,circuit204.mtx,MINRES,ILUT,unconverged,0.896049,10000,0.0133724
12,circuit204.mtx,MINRES,RILUK,unconverged,0.828116,10000,0.0133724
12,circuit204.mtx,MINRES,RELAXATION,unconverged,0.836935,10000,0.0133724
12,circuit204.mtx,MINRES,CHEBYSHEV,unconverged,0.832681,10000,0.0133724
12,circuit204.mtx,MINRES,NONE,unconverged,0.848384,10000,0.0133724
12,circuit204.mtx,PSEUDOBLOCK_CG,ILUT,error,0.00204706,,
12,circuit204.mtx,PSEUDOBLOCK_CG,RILUK,error,0.000739098,,
12,circuit204.mtx,PSEUDOBLOCK_CG,RELAXATION,error,0.000494957,,
12,circuit204.mtx,PSEUDOBLOCK_CG,CHEBYSHEV,error,0.00179982,,
12,circuit204.mtx,PSEUDOBLOCK_CG,NONE,error,0.0114641,,
12,circuit204.mtx,PSEUDOBLOCK_STOCHASTIC_CG,ILUT,error,0.00337005,,
12,circuit204.mtx,PSEUDOBLOCK_STOCHASTIC_CG,RILUK,error,0.00267291,,
12,circuit204.mtx,PSEUDOBLOCK_STOCHASTIC_CG,RELAXATION,error,0.00049901,,
12,circuit204.mtx,PSEUDOBLOCK_STOCHASTIC_CG,CHEBYSHEV,error,0.00173211,,
12,circuit204.mtx,PSEUDOBLOCK_STOCHASTIC_CG,NONE,error,0.000516891,,
12,circuit204.mtx,PSEUDOBLOCK_TFQMR,ILUT,error,0.0112829,,
12,circuit204.mtx,PSEUDOBLOCK_TFQMR,RILUK,error,0.00923586,,
12,circuit204.mtx,PSEUDOBLOCK_TFQMR,RELAXATION,error,0.0119998,,
12,circuit204.mtx,PSEUDOBLOCK_TFQMR,CHEBYSHEV,unconverged,3.82283,10000,141.011
12,circuit204.mtx,PSEUDOBLOCK_TFQMR,NONE,unconverged,3.32394,10000,134.988
12,circuit204.mtx,TFQMR,ILUT,error,0.00256395,,
