2,tub1000.mtx, PSEUDOBLOCK CG, RELAXATION, error,0.000332117,,
2,tub1000.mtx, PSEUDOBLOCK CG, CHEBYSHEV, error,0.00100613,,
2,tub1000.mtx, PSEUDOBLOCK CG, NONE, error,0.000353813,,
2,tub1000.mtx, PSEUDOBLOCK STOCHASTIC CG, ILUT, error,0.000852823,,
2,tub1000.mtx, PSEUDOBLOCK STOCHASTIC CG, RILUK, error,0.00118113,,
2,tub1000.mtx, PSEUDOBLOCK STOCHASTIC CG, RELAXATION, error,0.00036478,,
2,tub1000.mtx, PSEUDOBLOCK STOCHASTIC CG, CHEBYSHEV, error,0.000986099,,
2,tub1000.mtx, PSEUDOBLOCK STOCHASTIC CG, NONE, error,0.000381947,,
2,tub1000.mtx, PSEUDOBLOCK TFQMR, ILUT, converged,0.011157,27,1.16E-09
2,tub1000.mtx, PSEUDOBLOCK TFQMR, RILUK, converged,0.0112572,27,1.16E-09
2,tub1000.mtx, PSEUDOBLOCK TFQMR, RELAXATION, converged,0.896456,2773,9.46E-07
2,tub1000.mtx, PSEUDOBLOCK TFQMR, CHEBYSHEV, unconverged,3.31331,10000,4.97E-05
2,tub1000.mtx, PSEUDOBLOCK TFQMR, NONE, converged,0.560171,2003,6.20E-07
2,tub1000.mtx, TFQMR, ILUT, converged,0.00679588,27,1.16E-09
2,tub1000.mtx, TFQMR, RILUK, converged,0.00712609,27,1.16E-09
2,tub1000.mtx, TFQMR, RELAXATION, converged,0.456622,2773,9.46E-07
2,tub1000.mtx, TFQMR, CHEBYSHEV, unconverged,1.72657,10000,141.422
2,tub1000.mtx, TFQMR, NONE, converged,0.241961,2003,6.20E-07
2,tub1000.mtx, LSQR, ILUT, unconverged,1.59818,10000, 
2,tub1000.mtx, LSQR, RILUK, converged,0.0165482,55, 
2,tub1000.mtx, LSQR, RELAXATION, unconverged,2.0649,10000, 
2,tub1000.mtx, LSQR, CHEBYSHEV, unconverged,2.15641,10000, 
2,tub1000.mtx, LSQR, NONE, unconverged,1.21004,10000, 
2,tub1000.mtx, PSEUDOBLOCK GMRES, ILUT, converged,0.00712705,16,1.03E-07
2,tub1000.mtx, PSEUDOBLOCK GMRES, RILUK, converged,0.0062449,16,1.03E-07
2,tub1000.mtx, PSEUDOBLOCK GMRES, RELAXATION, unconverged,2.45657,6300,0.663629
2,tub1000.mtx, PSEUDOBLOCK GMRES, CHEBYSHEV, unconverged,2.65536,6300,0.961994
2,tub1000.mtx, PSEUDOBLOCK GMRES, NONE, unconverged,2.34114,6300,0.6666
2,cage8.mtx, FIXED POINT, ILUT, converged,0.00809288,7,4.20E-07
2,cage8.mtx, FIXED POINT, RILUK, converged,0.00287199,7,4.20E-07
2,cage8.mtx, FIXED POINT, RELAXATION, converged,0.0274241,376,9.90E-07
2,cage8.mtx, FIXED POINT, CHEBYSHEV, error,0.0148191,,
2,cage8.mtx, FIXED POINT, NONE, converged,0.00658989,92,9.78E-07
2,cage8.mtx, BICGSTAB, ILUT, converged,0.00247693,3,7.14E-07
2,cage8.mtx, BICGSTAB, RILUK, converged,0.00279593,3,7.14E-07
2,cage8.mtx, BICGSTAB, RELAXATION, converged,0.00274801,7,2.94E-07
2,cage8.mtx, BICGSTAB, CHEBYSHEV, converged,0.00361085,7,2.94E-07
2,cage8.mtx, BICGSTAB, NONE, error,0.00294185,,
2,cage8.mtx, MINRES, ILUT, unconverged,0.860941,10000,0.00147983
2,cage8.mtx, MINRES, RILUK, unconverged,0.883549,10000,0.00147983
2,cage8.mtx, MINRES, RELAXATION, unconverged,0.89207,10000,0.00147983
2,cage8.mtx, MINRES, CHEBYSHEV, unconverged,0.83797,10000,0.00147983
2,cage8.mtx, MINRES, NONE, unconverged,0.798181,10000,0.00147983
2,cage8.mtx, PSEUDOBLOCK CG, ILUT, converged,0.00193501,6,2.51E-07
2,cage8.mtx, PSEUDOBLOCK CG, RILUK, converged,0.00223088,6,2.51E-07
2,cage8.mtx, PSEUDOBLOCK CG, RELAXATION, converged,0.00183105,14,3.44E-07
2,cage8.mtx, PSEUDOBLOCK CG, CHEBYSHEV, converged,0.00262594,14,3.44E-07
2,cage8.mtx, PSEUDOBLOCK CG, NONE, converged,0.00414991,40,8.96E-07
2,cage8.mtx, PSEUDOBLOCK STOCHASTIC CG, ILUT, converged,0.00205207,6, 
2,cage8.mtx, PSEUDOBLOCK STOCHASTIC CG, RILUK, converged,0.00225997,6, 
2,cage8.mtx, PSEUDOBLOCK STOCHASTIC CG, RELAXATION, converged,0.00184107,14, 
2,cage8.mtx, PSEUDOBLOCK STOCHASTIC CG, CHEBYSHEV, converged,0.00265098,14, 
2,cage8.mtx, PSEUDOBLOCK STOCHASTIC CG, NONE, converged,0.00427103,40, 
2,cage8.mtx, PSEUDOBLOCK TFQMR, ILUT, converged,0.00304103,4,5.52E-07
2,cage8.mtx, PSEUDOBLOCK TFQMR, RILUK, converged,0.0033412,4,5.52E-07
2,cage8.mtx, PSEUDOBLOCK TFQMR, RELAXATION, converged,0.00343084,8,2.29E-07
2,cage8.mtx, PSEUDOBLOCK TFQMR, CHEBYSHEV, converged,0.00425506,8,2.29E-07
2,cage8.mtx, PSEUDOBLOCK TFQMR, NONE, error,0.012238,,
2,cage8.mtx, TFQMR, ILUT, converged,0.00239396,4,5.52E-07
2,cage8.mtx, TFQMR, RILUK, converged,0.00270104,4,5.52E-07
2,cage8.mtx, TFQMR, RELAXATION, converged,0.00216699,8,2.29E-07
2,cage8.mtx, TFQMR, CHEBYSHEV, unconverged,1.98177,10000,78.4711
2,cage8.mtx, TFQMR, NONE, error,0.00602508,,
2,cage8.mtx, LSQR, ILUT, converged,0.0219948,52, 
2,cage8.mtx, LSQR, RILUK, converged,0.00497293,9, 
2,cage8.mtx, LSQR, RELAXATION, converged,0.0065701,22, 
2,cage8.mtx, LSQR, CHEBYSHEV, converged,0.00753188,22, 
2,cage8.mtx, LSQR, NONE, converged,0.00716901,36, 
2,cage8.mtx, PSEUDOBLOCK GMRES, ILUT, converged,0.004462,6,1.80E-07
2,cage8.mtx, PSEUDOBLOCK GMRES, RILUK, converged,0.00366092,6,1.80E-07
2,cage8.mtx, PSEUDOBLOCK GMRES, RELAXATION, converged,0.00380111,11,8.20E-07
2,cage8.mtx, PSEUDOBLOCK GMRES, CHEBYSHEV, converged,0.00458908,11,8.20E-07
2,cage8.mtx, PSEUDOBLOCK GMRES, NONE, converged,0.00486207,16,4.42E-07
2,circuit204.mtx, FIXED POINT, ILUT, error,0.00642395,,
2,circuit204.mtx, FIXED POINT, RILUK, error,0.00158381,,
2,circuit204.mtx, FIXED POINT, RELAXATION, error,0.000466824,,
2,circuit204.mtx, FIXED POINT, CHEBYSHEV, error,0.0131049,,
2,circuit204.mtx, FIXED POINT, NONE, error,0.030354,,
2,circuit204.mtx, BICGSTAB, ILUT, error,0.00160909,,
2,circuit204.mtx, BICGSTAB, RILUK, error,0.00190902,,
