training_systems	training_numprocs	testing_systems	testing_numprocs	classifier	sampler	split	roc-auc	time
3	1	3	1	KNN	DummySampler	1	0.929	0.083
3	1	3	1	KNN	DummySampler	2	0.924	0.088
3	1	3	1	KNN	DummySampler	avg	0.91
3	1	3	1	KNN	SMOTEENN	0	0.892	0.676
3	1	3	1	KNN	SMOTEENN	1	0.914	0.71
3	1	3	1	KNN	SMOTEENN	2	0.914	0.662
3	1	3	1	KNN	SMOTEENN	avg	0.907
3	1	3	1	KNN	SMOTETomek	0	0.897	1.102
3	1	3	1	KNN	SMOTETomek	1	0.923	1.061
3	1	3	1	KNN	SMOTETomek	2	0.927	1.027
3	1	3	1	KNN	SMOTETomek	avg	0.916
3	1	3	1	KNN	ADASYN	0	0.9	9.332
3	1	3	1	KNN	ADASYN	1	0.919	9.107
3	1	3	1	KNN	ADASYN	2	0.921	9.128
3	1	3	1	KNN	ADASYN	avg	0.913
3	1	3	1	RandomForest	ADASYN	best_avg	0.928
