,np,matrix,matrix_id,solver_id,prec_id,status_id,new_time,good_or_bad
26363,2,chipcool0.mtx,-5992669700581126221,7,3,1,4.7320199999999994,-1
26364,2,chipcool0.mtx,-5992669700581126221,7,4,0,inf,-1
26365,2,chipcool0.mtx,-5992669700581126221,8,0,1,0.149605,1
26366,2,chipcool0.mtx,-5992669700581126221,8,1,1,0.149269,1
26367,2,chipcool0.mtx,-5992669700581126221,8,2,1,0.562322,-1
26368,2,chipcool0.mtx,-5992669700581126221,8,3,1,0.565469,-1
26369,2,chipcool0.mtx,-5992669700581126221,8,4,0,inf,-1
26370,2,chipcool1.mtx,7065944142833475238,0,0,1,4.3436699999999995,-1
26371,2,chipcool1.mtx,7065944142833475238,0,1,1,4.11629,-1
26372,2,chipcool1.mtx,7065944142833475238,0,2,0,inf,-1
26373,2,chipcool1.mtx,7065944142833475238,0,3,-1,inf,-1
26374,2,chipcool1.mtx,7065944142833475238,0,4,-1,inf,-1
26375,2,chipcool1.mtx,7065944142833475238,1,0,1,0.113712,1
26376,2,chipcool1.mtx,7065944142833475238,1,1,1,0.11551099999999999,1
26377,2,chipcool1.mtx,7065944142833475238,1,2,1,0.15429600000000002,-1
26378,2,chipcool1.mtx,7065944142833475238,1,3,1,0.157576,-1
26379,2,chipcool1.mtx,7065944142833475238,1,4,0,inf,-1
26380,2,chipcool1.mtx,7065944142833475238,2,0,0,inf,-1
26381,2,chipcool1.mtx,7065944142833475238,2,1,0,inf,-1
26382,2,chipcool1.mtx,7065944142833475238,2,2,0,inf,-1
26383,2,chipcool1.mtx,7065944142833475238,2,3,0,inf,-1
26384,2,chipcool1.mtx,7065944142833475238,2,4,0,inf,-1
26385,2,chipcool1.mtx,7065944142833475238,3,0,-1,inf,-1
26386,2,chipcool1.mtx,7065944142833475238,3,1,-1,inf,-1
26387,2,chipcool1.mtx,7065944142833475238,3,2,-1,inf,-1
26388,2,chipcool1.mtx,7065944142833475238,3,3,-1,inf,-1
26389,2,chipcool1.mtx,7065944142833475238,3,4,-1,inf,-1
26390,2,chipcool1.mtx,7065944142833475238,4,0,-1,inf,-1
26391,2,chipcool1.mtx,7065944142833475238,4,1,-1,inf,-1
26392,2,chipcool1.mtx,7065944142833475238,4,2,-1,inf,-1
26393,2,chipcool1.mtx,7065944142833475238,4,3,-1,inf,-1
26394,2,chipcool1.mtx,7065944142833475238,4,4,-1,inf,-1
26395,2,chipcool1.mtx,7065944142833475238,5,0,1,0.18526099999999998,-1
26396,2,chipcool1.mtx,7065944142833475238,5,1,1,0.188366,-1
26397,2,chipcool1.mtx,7065944142833475238,5,2,-1,inf,-1
26398,2,chipcool1.mtx,7065944142833475238,5,3,0,inf,-1
26399,2,chipcool1.mtx,7065944142833475238,5,4,-1,inf,-1
26400,2,chipcool1.mtx,7065944142833475238,6,0,1,0.172024,-1
26401,2,chipcool1.mtx,7065944142833475238,6,1,1,0.176647,-1
26402,2,chipcool1.mtx,7065944142833475238,6,2,-1,inf,-1
26403,2,chipcool1.mtx,7065944142833475238,6,3,-1,inf,-1
26404,2,chipcool1.mtx,7065944142833475238,6,4,-1,inf,-1
26405,2,chipcool1.mtx,7065944142833475238,7,0,0,inf,-1
26406,2,chipcool1.mtx,7065944142833475238,7,1,1,1.32465,-1
26407,2,chipcool1.mtx,7065944142833475238,7,2,1,3.81756,-1
26408,2,chipcool1.mtx,7065944142833475238,7,3,1,3.91205,-1
26409,2,chipcool1.mtx,7065944142833475238,7,4,0,inf,-1
26410,2,chipcool1.mtx,7065944142833475238,8,0,1,0.140369,1
26411,2,chipcool1.mtx,7065944142833475238,8,1,1,0.141957,1
26412,2,chipcool1.mtx,7065944142833475238,8,2,1,0.6157600000000001,-1
26413,2,chipcool1.mtx,7065944142833475238,8,3,1,0.62205,-1
26414,2,chipcool1.mtx,7065944142833475238,8,4,0,inf,-1
26415,2,rail_20209.mtx,-5608722108567338545,0,0,0,inf,-1
