,classifier,sampler,np_a,np_b,fold,AUC,time
136,GradientBoosting,RandomOverSampler,12,1,0,0.807,14.402000000000001
137,GradientBoosting,RandomOverSampler,12,1,1,0.795,14.475
138,GradientBoosting,RandomOverSampler,12,1,2,0.82,18.831
139,GradientBoosting,RandomOverSampler,12,1,avg,0.8079999999999999,
140,RandomForest,DummySampler,12,1,0,0.564,0.461
141,RandomForest,DummySampler,12,1,1,0.626,0.46
142,RandomForest,DummySampler,12,1,2,0.7090000000000001,0.45299999999999996
143,RandomForest,DummySampler,12,1,avg,0.633,
144,RandomForest,SMOTE,12,1,0,0.535,1.494
145,RandomForest,SMOTE,12,1,1,0.688,1.7719999999999998
146,RandomForest,SMOTE,12,1,2,0.7140000000000001,1.433
147,RandomForest,SMOTE,12,1,avg,0.6459999999999999,
148,RandomForest,SMOTEENN,12,1,0,0.596,3.755
149,RandomForest,SMOTEENN,12,1,1,0.7240000000000001,2.823
150,RandomForest,SMOTEENN,12,1,2,0.733,3.305
151,RandomForest,SMOTEENN,12,1,avg,0.684,
152,RandomForest,SMOTETomek,12,1,0,0.585,6.394
153,RandomForest,SMOTETomek,12,1,1,0.696,3.4389999999999996
154,RandomForest,SMOTETomek,12,1,2,0.693,4.968999999999999
155,RandomForest,SMOTETomek,12,1,avg,0.6579999999999999,
156,RandomForest,RandomOverSampler,12,1,0,0.5579999999999999,0.768
157,RandomForest,RandomOverSampler,12,1,1,0.6809999999999999,0.652
158,RandomForest,RandomOverSampler,12,1,2,0.698,0.653
159,RandomForest,RandomOverSampler,12,1,avg,0.645,
160,AdaBoost,DummySampler,12,1,0,0.774,2.324
161,AdaBoost,DummySampler,12,1,1,0.775,2.343
162,AdaBoost,DummySampler,12,1,2,0.687,2.385
163,AdaBoost,DummySampler,12,1,avg,0.745,
164,AdaBoost,SMOTE,12,1,0,0.792,7.4879999999999995
165,AdaBoost,SMOTE,12,1,1,0.787,7.926
166,AdaBoost,SMOTE,12,1,2,0.755,7.657
167,AdaBoost,SMOTE,12,1,avg,0.778,
168,AdaBoost,SMOTEENN,12,1,0,0.81,9.388
169,AdaBoost,SMOTEENN,12,1,1,0.784,8.715
170,AdaBoost,SMOTEENN,12,1,2,0.737,8.55
171,AdaBoost,SMOTEENN,12,1,avg,0.777,
172,AdaBoost,SMOTETomek,12,1,0,0.7709999999999999,11.879000000000001
173,AdaBoost,SMOTETomek,12,1,1,0.7809999999999999,10.988
174,AdaBoost,SMOTETomek,12,1,2,0.71,12.732000000000001
175,AdaBoost,SMOTETomek,12,1,avg,0.754,
176,AdaBoost,RandomOverSampler,12,1,0,0.7609999999999999,5.172000000000001
177,AdaBoost,RandomOverSampler,12,1,1,0.8109999999999999,4.709
178,AdaBoost,RandomOverSampler,12,1,2,0.769,4.374
179,AdaBoost,RandomOverSampler,12,1,avg,0.78,
180,GradientBoosting,DummySampler,12,12,0,0.736,5.747000000000001
181,GradientBoosting,DummySampler,12,12,1,0.6940000000000001,6.905
182,GradientBoosting,DummySampler,12,12,2,0.7,6.587000000000001
183,GradientBoosting,DummySampler,12,12,avg,0.71,
184,GradientBoosting,SMOTE,12,12,0,0.741,19.195999999999998
185,GradientBoosting,SMOTE,12,12,1,0.7809999999999999,18.33
186,GradientBoosting,SMOTE,12,12,2,0.767,17.89
187,GradientBoosting,SMOTE,12,12,avg,0.763,
188,GradientBoosting,SMOTEENN,12,12,0,0.741,20.255
189,GradientBoosting,SMOTEENN,12,12,1,0.789,20.3
190,GradientBoosting,SMOTEENN,12,12,2,0.753,18.623
191,GradientBoosting,SMOTEENN,12,12,avg,0.7609999999999999,
192,GradientBoosting,SMOTETomek,12,12,0,0.731,23.456999999999997
193,GradientBoosting,SMOTETomek,12,12,1,0.797,22.99
194,GradientBoosting,SMOTETomek,12,12,2,0.769,21.851
